1_id	1_span	1_anno_const:pos-const	1_anno_default_ns:lemma-deprel	1_anno_default_ns:morph	1_anno_default_ns:norm	1_anno_default_ns:pos-deprel
86971542		PIAT	kein	nom|sg|masc	kein	PIAT
86971551		NN	Majoran	nom|sg|masc	Majoran	NN
86971559		APPR	in	'NULL'	in	APPR
86971569		ADJA	deutsch	dat|pl|neut|pos	deutschen	ADJA
86971577		NN	Lande	dat|pl|neut	Landen	NN
86971585		VVPP	wachsen	sg|3|past|subj	wüchse	VVFIN
86971593		$,	,	'NULL'	/	$,
86971602		KON	und	'NULL'	und	KON
86971610		VAFIN	werden	sg|3|past|subj	würde	VAFIN
86971619		ADV	allein	'NULL'	allein	ADV
86971629		APPR	aus	'NULL'	aus	APPR
86971638		NE	Arabien	dat|sg|neut	Arabien	NE
86971651		ADV	einher	'NULL'	einher	ADV
86971660		VVPP	führen	'NULL'	geführt	VVPP
86971668		$,	,	'NULL'	/	$,
86971676		VAFIN	sein	sg|3|past|subj	wäre	VAFIN
86971684		PPER	es	nom|sg|neut|3	es	PPER
86971692		PTKNEG	nicht	'NULL'	nicht	PTKI
86971700		ART	ein	acc|sg|neut	ein	ART
86971710		ADJA	köstlich	nom|sg|neut|pos	köstliches	ADJA
86971718		NN	Ding	nom|sg|neut	Ding	NN
86971726		$,	,	'NULL'	/	$,
86971734		VAFIN	sein	sg|3|past|subj	wäre	VAFIN
86971745		PPER	es	nom|sg|neut|3	es	PPER
86971753		PTKNEG	nicht	'NULL'	nicht	PTKI
86971761		ADV	wohl	'NULL'	wohl	ADV
86971769		ADV	so	'NULL'	so	ADV
86971779		VVPP	köstlich	pos	köstlich	ADJD
86971787		KOKOM	als	'NULL'	als	KOKOM
86971796		ART	der	nom|sg|masc	der	ART
86971808		NN	Bisem	nom|sg|masc	Bisem	NN
86971816		$,	,	'NULL'	/	$,
86971824		KON	und	'NULL'	und	KON
86971834		NN	Safran	nom|sg|masc	Safran	NN
86971842		$,	,	'NULL'	/	$,
86971850		KON	und	'NULL'	und	KON
86971859		NN	Stica	nom|sg|*	Sticas	FM
86971867		$,	,	'NULL'	/	$,
86971875		KON	und	'NULL'	und	KON
86971883		PWS	was	nom|sg|neut	was	PWS
86971892	 	ADV	derselbige	gen|pl|neut|pos	derselbigen	ADJA
86971910		ADJA	wohlriechend	gen|pl|neut|pos	wohlriechenden	ADJA
86971920		NN	Dinger	gen|pl|neut	Dinger	NN
86971928		VAFIN	sein	pl|3|pres|ind	sind	VAFIN
86971937		$.	:	'NULL'	:	$.
86971946		KON	aber	'NULL'	Aber	KON
86971960		VVFIN	dieweil	'NULL'	dieweil	KOUS
86971969		PPER	es	nom|sg|neut|3	es	PPER
86971977		ADV	auch	'NULL'	auch	ADV
86971986		APPR	bei	'NULL'	bei	APPR
86971996		PPER	uns	dat|pl|*|1	uns	PPER
86972004		VVFIN	wachsen	sg|3|pres|ind	wächst	VVFIN
86972012		$,	,	'NULL'	/	$,
86972020		ADV	so	'NULL'	so	ADV
86972028		VVFIN	gelten	sg|3|pres|ind	gilt	VVFIN
86972032		PPER	es	nom|sg|neut|3	es	PPER
86972041		PIS	nichts	*|*|neut	nichts	PIS
86972050		ADJD	,	'NULL'	/	$,
86972059		ADV	so	'NULL'	so	ADV
86972070		VVFIN	machen	pl|1|pres|ind	machen	VVFIN
86972080		PPER	wir	nom|pl|*|1	wir	PPER
86972088		NN	Kränzelein	acc|sg|neut	Kränzelein	NN
86972097		PROAV	daraus	'NULL'	daraus	PROAV
86972106		$,	,	'NULL'	/	$,
86972114		VVFIN	zieren	pl|3|pres|ind	zieren	VVFIN
86972123		ART	der	acc|pl|neut	die	ART
86972132		NN	Garten	acc|pl|masc	Gärten	NN
86972140		PROAV	damit	'NULL'	damit	PROAV
86972150		VVFIN	,	'NULL'	/	$,
86972159		ADV	desgleichen	'NULL'	desgleichen	ADV
86972171		ART	der	nom|pl|masc	die	ART
86972180		NN	Ärzt	nom|pl|masc	Ärzte	NN
86972188		VMFIN	dürfen	pl|3|pres|ind	dürfen	VMFIN
86972196		ADV	auch	'NULL'	auch	ADV
86972204		PTKNEG	nicht	'NULL'	nicht	PTKNEG
86972213		NN	Majoran	acc|sg|masc	Majoran	NN
86972224		APPR	für	'NULL'	für	APPR
86972234		NN	Stica	acc|sg|*	Sticas	FM
86972242		VVINF	nehmen	'NULL'	nehmen	VVINF
86972251		VVINF	,	'NULL'	/	$,
86972260		PPER	es	nom|sg|neut|3	es	PPER
86972272		VVFIN	muss	sg|3|past|ind	muss	VVFIN
86972281		PPER	sich	dat|sg|*|1	mir	PPER
86972289		PIS	alle	nom|sg|neut	alles	PIS
86972298		ADJD	fremd	pos	fremd	ADJD
86972307		VAINF	sein	'NULL'	sein	VAINF
86972316		$.	.	'NULL'	.	$.
86972327		NN	Geschlecht	nom|sg|neut	Geschlecht	NN
86972339		KON	und	'NULL'	und	KON
86972347		NN	Gestalt	nom|sg|fem	Gestalt	NN
86972356		$.	.	'NULL'	.	$.
86972366		PPER	es	nom|sg|neut|3	Es	PPER
86972378		VVFIN	unterscheiden	sg|3|pres|ind	unterscheidet	VVFIN
86972386		ADV	zwar	'NULL'	zwar	ADV
86972396		NN	Dioscoride	nom|sg|masc	Dioscorides	NN
86972405		PDAT	dieser	acc|sg|neut	dieses	PDAT
86972414		NN	Kraut	acc|sg|neut	Kraut	NN
86972422		PTKNEG	nicht	'NULL'	nicht	PTKNEG
86972430		ADV	weiter	'NULL'	weiter	ADV
86972438		ADV	denn	'NULL'	denn	KON
86972446		ART	der	gen|pl|neut	der	ART
86972455	 	NN	Land	gen|pl|neut	Länder	NN
86972470		PTKVZ	halber	'NULL'	halber	APPO
86972479		$.	.	'NULL'	.	$.
86972488		KON	denn	'NULL'	Denn	KON
86972500		ART	der	nom|sg|masc	der	ART
86972510		ADJA	allerbester	nom|sg|masc|pos	allerbeste	ADJA
86972519		NN	Majoran	nom|sg|masc	Majoran	NN
86972527		VVFIN	wachsen	sg|3|pres|ind	wächst	VVFIN
86972535		APPR	in	'NULL'	in	APPR
86972545		NE	Zypern	dat|sg|neut	Zypern	NE
86972553		$.	.	'NULL'	.	$.
86972561		NN	Danach	'NULL'	Danach	PROAV
86972570		APPR	in	'NULL'	in	APPR
86972584	 	NN	Ägyptenland	dat|sg|neut	Ägyptenland	NE
86972599		$.	.	'NULL'	.	$.
86972608		PPER	es	nom|sg|neut|3	Es	PPER
86972621		VAFIN	sein	sg|3|pres|ind	ist	VAFIN
86972629		ADV	aber	'NULL'	aber	ADV
86972637		ADV	dennoch	'NULL'	dennoch	ADV
86972645		APPR	bei	'NULL'	bei	APPR
86972656		PPER	uns	dat|pl|*|1	uns	PPER
86972664		ADV	auch	'NULL'	auch	ADV
86972672		ADJD	zweierlei	*|*|*	zweierlei	NN
86972680		$.	.	'NULL'	.	$.
86972688		ART	ein	nom|sg|masc	ein	ART
86972699		ADJA	gemein	nom|sg|masc|pos	gemeiner	ADJA
86972707		$,	,	'NULL'	/	$,
86972715		KON	und	'NULL'	und	KON
86972723		ART	ein	nom|sg|masc	ein	ART
86972733	 	ADJA	edler	nom|sg|masc	edler	NN
86972746		VVPP	nennen	'NULL'	genannt	VVPP
86972756		$.	.	'NULL'	.	$.
86972765		ART	der	nom|sg|masc	Der	ART
86972778		NN	edel	nom|sg|masc	edle	PIS
86972786		VAFIN	haben	sg|3|pres|ind	hat	VAFIN
86972794		ADJD	krausern	acc|pl|neut|comp	krausere	ADJA
86972804		KON	und	'NULL'	und	KON
86972812		ADJD	adelig	acc|pl|neut|pos	adeligere	ADJA
86972820		VVPP	Blatt	acc|pl|neut	Blätter	NN
86972828		$,	,	'NULL'	/	$,
86972836		APPR	wider	'NULL'	wider	KOKOM
86972846		PRELS	der	nom|sg|masc	der	ART
86972855		ADJA	gemein	nom|sg|masc|pos	gemeine	ADJA
86972870	  	NN	Gartenmajoran	nom|sg|masc	Gartenmajoran	NN
86972889		VVFIN	,	'NULL'	/	$,
86972898		ADV	aber	'NULL'	aber	KON
86972911		VVFIN	beide	nom|pl|*	beide	VVFIN
86972919		ADV	zwar	'NULL'	zwar	ADV
86972927		ART	ein	gen|pl|fem	einer	ART
86972936		NN	Kraft	gen|sg|fem	Kräfte	NN
86972944		$,	,	'NULL'	/	$,
86972952		KON	und	'NULL'	und	KON
86972960		ADV	fast	'NULL'	fast	ADV
86972970		PIS	ein	gen|sg|masc	eines	ART
86972978		ADJA	lieblich	gen|sg|masc|pos	lieblichen	ADJA
86972987		NN	Geruch	gen|sg|masc	Geruchs	NN
86972996		$.	.	'NULL'	.	$.
86973008		APPR	Stätte	'NULL'	Statt	NN
86973020		PPOSAT	ihr	gen|sg|neut	ihres	PPOSAT
86973029		NN	Gewächs	gen|sg|neut	Gewächses	NN
86973039		$.	.	'NULL'	.	$.
86973049		PWAV	wie	'NULL'	Wie	PWAV
86973062		ADV	oben	'NULL'	oben	ADV
86973066		VVPP	sagen	'NULL'	gesagt	VVPP
86973074		$,	,	'NULL'	/	$,
86973082		ADV	so	'NULL'	so	ADV
86973090		VAFIN	werden	sg|3|pres|ind	wird	VAFIN
86973098		ART	der	nom|sg|masc	der	ART
86973108		NN	Majoran	nom|sg|masc	Majoran	NN
86973116		ADJD	zielen	pos	gezielt	VVPP
86973126		APPR	in	'NULL'	in	APPR
86973134		ART	der	dat|pl|masc	den	ART
86973142		NN	Garten	dat|pl|masc	Gärten	NN
86973150		$,	,	'NULL'	/	$,
86973158		ADV	etwa	'NULL'	etwa	ADV
86973167		ADV	auch	'NULL'	auch	ADV
86973175		APPR	in	'NULL'	in	APPR
86973184	 	ADJA	besonderer	dat|pl|fem|pos	besonderen	ADJA
86973200		NN	Kachel	dat|pl|fem	Kacheln	NN
86973208		$,	,	'NULL'	/	$,
86973216		KON	und	'NULL'	und	KON
86973224		NN	Geschirr	dat|pl|neut	Geschirren	NN
86973232		$,	,	'NULL'	/	$,
86973240		APPR	in	'NULL'	in	APPR
86973250		NN	Gestalt	dat|sg|fem	Gestalt	NN
86973258		ADJA	klein	gen|pl|neut|pos	kleiner	ADJA
86973267		NN	Bäumlein	gen|pl|neut	Bäumlein	NN
86973275		$,	,	'NULL'	/	$,
86973283		KON	und	'NULL'	und	KON
86973291		VVFIN	wachsen	sg|3|pres|ind	wächst	VVFIN
86973301		ADV	fast	'NULL'	fast	ADV
86973310		ADV	gern	'NULL'	gern	ADV
86973318		$.	.	'NULL'	.	$.
86973327		VAFIN	werden	sg|3|pres|ind	Wird	VAFIN
86973337		ADJD	gesaten	pos	gesät	ADJD
86973346		KON	und	'NULL'	und	KON
86973354		ADJD	geimpften	pos	geimpft	ADJD
86973362		$,	,	'NULL'	/	$,
86973370		KON	oder	'NULL'	oder	KON
86973378		VVFIN	pflanzen	'NULL'	gepflanzt	ADJD
86973387		$.	.	'NULL'	.	$.
86973396		APPR	an	'NULL'	An	APPR
86973409		ART	der	dat|pl|masc	den	ART
86973417		ADJA	feucht	acc|sg|masc|pos	feuchten	ADJA
86973425	 	ADJA	schattig	dat|pl|masc|pos	schattigen	ADJA
86973438		NN	Ort	dat|pl|masc	Orten	NN
86973446		$,	,	'NULL'	/	$,
86973454		VAFIN	werden	sg|3|pres|ind	wird	VAFIN
86973462		PPER	sie	nom|sg|fem|3	sie	PPER
86973470		ADJD	groß	pos	groß	ADJD
86973479		KON	und	'NULL'	und	KON
86973487		ITJ	feist	pos	feist	ADJD
86973496		$,	,	'NULL'	/	$,
86973504		APPR	an	'NULL'	an	APPR
86973513		ART	der	dat|sg|fem	der	ART
86973521		NN	Sonne	dat|sg|fem	Sonne	NN
86973529		$,	,	'NULL'	/	$,
86973537		ADJD	klein	pos	klein	ADJD
86973545		KON	und	'NULL'	und	KON
86973553		ADJD	kraus	pos	kraus	ADJD
86973562		$.	.	'NULL'	.	$.
86973573		ADJA	sein	nom|sg|neut	Sein	PPOSAT
86973587		NN	Complexion	nom|sg|neut	Complexion	NN
86973596		$,	,	'NULL'	/	$,
86973604		KON	und	'NULL'	und	KON
86973612		NN	Temperament	nom|sg|neut	Temperament	NN
86973621		$.	.	'NULL'	.	$.
86973633		NN	Galenus	nom|sg|*	Galenus	NE
86973645		VVFIN	sprechen	sg|3|pres|ind	spricht	VVFIN
86973653		$,	,	'NULL'	/	$,
86973664		NE	daß	'NULL'	dass	KOUS
86973676		NE	Majoran	nom|sg|masc	Majoran	NN
86973684		VVFIN	wärmen	sg|3|pres|ind	wärmt	VVFIN
86973692		APPR	in	'NULL'	in	APPR
86973701		ART	der	dat|sg|masc	dem	ART
86973709		ADJA	dritter	dat|sg|masc|pos	dritten	ADJA
86973717		NN	Grade	dat|sg|masc	Grade	NN
86973725		$,	,	'NULL'	/	$,
86973733		KON	und	'NULL'	und	KON
86973741		VVFIN	trocknen	sg|3|pres|ind	trocknet	VVFIN
86973750		APPR	in	'NULL'	in	APPR
86973760		ART	der	dat|sg|neut	dem	ART
86973768		ADJA	zweiter	dat|sg|neut|pos	zweiten	ADJA
86973777		$.	.	'NULL'	.	$.
86973788		ADJD	¶	'NULL'	¶	$*
86973800		VVFIN	was	acc|sg|neut	Was	PWS
86973809		NN	Majoran	nom|sg|masc	Majoran	NN
86973818		APPR	für	'NULL'	für	APPR
86973827		NN	Kraft	acc|pl|fem	Kräfte	NN
86973835		VAFIN	haben	sg|3|pres|ind	hat	VVFIN
86973844		$.	.	'NULL'	.	$.
86973855		ADJD	Majoran	nom|sg|masc	Majoran	NN
86973870		VVPP	gesotten	'NULL'	gesotten	VVPP
86973878		$,	,	'NULL'	/	$,
86973886		KON	und	'NULL'	und	KON
86973894		APPR	zu	'NULL'	zu	PTKZU
86973900		NN	trinken	'NULL'	trinken	VVINF
86973908		VVPP	geben	'NULL'	gegeben	VVPP
86973916		$,	,	'NULL'	/	$,
86973924		PDS	der	dat|pl|*	denen	PDS
86973935		ADV	so	'NULL'	so	KOUS
86973944		ADJD	anfangen	pl|3|pres|ind	anfangen	VVFIN
86973958		VVPP	wassersüchtig	pos	wassersüchtig	ADJD
86973966		PTKZU	zu	'NULL'	zu	PTKZU
86973976		VAINF	werden	'NULL'	werden	VAINF
86973984		$,	,	'NULL'	/	$,
86973992		VAFIN	sein	sg|3|pres|ind	ist	VAFIN
86974000		ADJD	gut	pos	gut	ADJD
86974008		$.	.	'NULL'	.	$.
86974017		VVFIN	dienen	sg|3|pres|ind	dient	VVFIN
86974027		ADV	auch	'NULL'	auch	ADV
86974035		PDS	der	dat|pl|*	denen	PDS
86974045		ADV	so	'NULL'	so	KOUS
86974054		PTKNEG	nicht	'NULL'	nicht	PTKNEG
86974062		ADJA	harnen	'NULL'	harnen	VVINF
86974072		NN	mögen	pl|3|pres|ind	mögen	VMFIN
86974081		$,	,	'NULL'	/	$,
86974089		KON	und	'NULL'	und	KON
86974103		NN	Leibweh	acc|sg|neut	Leibweh	NN
86974111		VAINF	haben	pl|3|pres|ind	haben	VVFIN
86974119		$,	,	'NULL'	/	$,
86974127		KON	und	'NULL'	und	KON
86974135		VVFIN	treiben	sg|3|pres|ind	treibt	VVFIN
86974145		ADV	auch	'NULL'	auch	ADV
86974153		ART	der	acc|sg|masc	den	ART
86974162		NN	Stein	acc|sg|masc	Stein	NN
86974171		$.	.	'NULL'	.	$.
86974181		ART	der	nom|pl|neut	Die	ART
86974195		NN	Blatt	nom|pl|neut	Blätter	NN
86974203		APPR	in	'NULL'	in	APPR
86974212		NE	Honig	dat|sg|masc	Honig	NN
